;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
1981;;Pui;Meinardus Simon du;;Man;;21-3-1754;Enkhuizen;Nederland;14-6-1834;Leiden;Nederland;Promotie;Groningen;1775;Dissertatio physico-mathematica inauguralis de formulis mechanicis;Buitengewoon Hoogleraar;Gynaecologie en verloskunde;14-5-1791;;Verloskunde en Practische Heelkunde;27-9-1791;;Geneeskunde;;;"Rector Magnificus 1799-1800; 1819-1820";Gewoon Hoogleraar;Gynaecologie en verloskunde;19-9-1795;;Verloskunde en Practische Heelkunde.. 1801-02-02 Gaf onderwijs in Geneeskunde;7-11-1795;;;1824;Emeritus, doch bleef lessen geven tot 1826, daarna nog enkele lessen tot zijn dood in 1834.;1798-11-14 Professor Collegii Medico Practici. 1801-09-26 Oratie. 1815-10-16 Bevestigd.;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1791-1824. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI en VII; - Nieuw Nederl. Biogr. Woordenboek II K. 1137.";18658785;"1581838; 1620143; 1620618; 1621298";69959129
1986;;Quanjer;Hendrik Marius;;Man;;23-4-1879;Enkhuizen;Nederland;1-3-1961;Zeist;Nederland;Promotie;Amsterdam;1906;De belangrijkste ziekten van kool in Noord-Holland;Gewoon Lector;Farmacie;27-6-1910;;Pharmacographie en de Galenische Pharmacie;;;Wiskunde en Natuurwetenschappen;;;1910-09-01  Besluit van 27 juni ingetrokken.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169421240;;73774820
1987;;Quanjer;Philippus Hermanus;;Man;;12-9-1936;Pontianak;Nederlands-Indië;26-7-2017;Nijverdal;;Promotie;Groningen;1971;Plethysmographic evaluation of airway obstruction;Gewoon Lector;Fysiologie;17-8-1974;1-10-1974;Fysiologie;23-1-1976;Bewaking van de gezondheid;Geneeskunde;;;;Gewoon Hoogleraar;Fysiologie;20-12-1979;;Fysiologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 32. 134;20404258;;06849145X
1989;;Querido;Andries;;Man;;15-9-1912;Amsterdam;Nederland;30-1-2001;;;Promotie;Amsterdam;1935;Vitamin D requirements in relation to the Ca and P content of the diet;Gewoon Hoogleraar;Inwendige Geneeskunde;7-6-1948;9-7-1948;Inwendige geneeskunde. 1967-10-02  Onderwijsodpracht gewijzigd in: De inwendige geneeskunde met een bijzondere opdracht voor stofwisselingsziekten en endocrinologie.;22-10-1948;De betekenis van de pathologische physiologie voor de geneeskunde;Geneeskunde;1-12-1981;Eervol ontslag als Gewoon Hoogleraar;;Buitengewoon Hoogleraar;Inwendige Geneeskunde;1-12-1981;;Inwendige geneeskunde;;;Geneeskunde;1-4-1983;Einde tijdvak van benoeming. (Tevens benoemd tot Buitengewoon Hoogleraar voor het tdijvak van 1981-12-01 tot 1983-04-01.;"1983-03-25 Afscheidscollege: ""Het is de schuld van Napoleon""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1949 blz. 103.;92243238;1581770;68248946
1991;;Quispel;Anton;;Man;;4-12-1917;Rotterdam;Nederland;2008;;;Promotie;Groningen;1943;The mutual relations between algae and fungi in lichens;Gewoon Hoogleraar;Biologie;30-12-1959;1-2-1960;Experimentele plantkunde;13-5-1960;De veel-eenheid van het leven. Analyse en synthese in de biologie;Wiskunde en Natuurwetenschappen;1-9-1983;Eervol ontslag;"1982-02-08 Diesrede: ""Mens, plans en microbe""1983-10-07 Afscheidscollege: ""Gelukkig wij, die toen begonnen""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1960 blz. 156.;68100533;;69396647
1994;;Rademaker;Gijsbertus Godefriedus Johannes;;Man;;19-3-1887;Den Haag;Nederland;19-4-1957;Oegstgeest;Nederland;Promotie;Utrecht;1924;De beteekenis der roode kernen en van het overige mesencephalon voor spiertonus, lichaamshouding en labyrinthaire reflexen;Gewoon Hoogleraar;"Fysiologie;Neurologie";5-3-1928;;Physiologie. 1945-12-31 Onderwijsopdracht gewijzigd in: Neurologie;10-10-1928;Willekeurige en onwillekeurige handelingen;Geneeskunde;;;1943-01-28  Eervol ontslag op eigen verzoek . 1942-08-28  Herbenoemd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1929 blz. 133 en In Mem. 1957 blz. 126.;18259569;1581740;72271574
1997;;Raei;Johannes;;Man;;1622;Wageningen;Nederland;30-11-1702;Amsterdam;Nederland;;;;;Gewoon Lector;;9-2-1651;;;;;Wijsbegeerte;;;;Buitengewoon Hoogleraar;;10-6-1653;;;;;Wijsbegeerte;;;;Buitengewoon Hoogleraar;;8-8-1658;;Medische Instituten. 1660-02-02: Onderwees geen Medische Instituten meer;;;Geneeskunde;;;;Gewoon Hoogleraar;;8-2-1661;;;;;Wijsbegeerte;12-11-1668;Eervol ontslagen wegens benoeming als Hoogleraar te Amsterdam.;;(WIJSBEGEERTE, GENEESKUNDE) 1651-1668. Lector 1651-1653, Hoogleeraar;"zie: Molhuysen „Bronnen"" III; - van der Aa 10; - Gedenkboek van het Athenaeum en de Universiteit
van Amsterdam 1632-1932 blz. 659.";237880884;1625714;06996761X
2000;;Rahder;Johannes;;Man;;27-12-1898;Loeboeg Begalong;Nederlands-Indië;3-3-1988;Hamden;USA;Promotie;Utrecht;1926;Da?abh?mikas?tra;Gewoon Hoogleraar;Japans, Chinees en Koreaans;15-1-1931;;Japansche Taal- en Letterkunde;25-9-1931;Japanologische verkenningen;Letteren;1-9-1946;Ontslag op verzoek. Naar Yale University, New Haven, Conn, USA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1932 blz. 110.;112097763;;71219374
2001;;Ramsaeus;Jacobus;;Man;;;onbekend;Verenigd Koninkrijk, Schotland;12-6-1593;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Redeneerkunde;1588;;Redeneerkunde;;;Letteren;12-6-1593;Overleden;1592 Leraar Redeneerkunde aan Statencollege. 1593-03-12 Onderregent Statencollege.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Statencollege, REDENEERKUNDE) 1588-1593. Hoogleeraar 1588-1593,
Onderregent Statencollege 1593-1593.";"zie: Molhuysen „Bronnen"" I; - G. D. J. Schotel „Een Studetitenoproer"" in 1594.";;1582036;
2004;;Rang;Jacob Folkert;Jaap;Man;;8-8-1931;Amsterdam;Nederland;2016;;;Promotie;VU Amsterdam;1960;Kernproblemen van de algemene ouderdomsverzekering;Bijzonder Hoogleraar;;4-9-1972;4-9-1972;Gezondheidsrecht;26-1-1973;Patiëntenrecht;"Geneeskunde; Rechtsgeleerdheid";1-1-1982;Ontslag. Naar Rijksuniversiteit Utrecht.;Bijzonder Hoogleraar Rechtsgeleerdheid en Geneeskunde vanwege het Leids Universiteits Fonds.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1973 blz. 66.;205525922;;06834161X
2005;;Raphelingius (Ravelingen);Franciscus;Frans;Man;;27-1-1539;Lanoy;Frankrijk;20-7-1597;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Oosterse Talen;20-6-1586;;Hebreeuws;;;Letteren;;;Was corrector bij drukker Plantijn in Antwerpen, huwde diens dochter en kwam in 1585 naar Leiden om Plantijns drukkerij te beheren.;Gewoon Hoogleraar;Oosterse Talen;8-2-1587;;Hebreeuws;;;Letteren;20-7-1597;Overleden;Hij was sinds 1586 Academiedrukker.;;;;;;;;;;;;;;;;;;;;;;;(Hij was sinds 1586 Academiedrukker).;"zie: Molhuysen „Bronnen"" I; - van der Aa 10; - Siegenbeek II T. en B., H. blz. 69; -
P. C. Molhuysen „de Academiedrukkers"" in Pallas Leydensis MCMXXV; - P. A. Tiele „les
premiers Imprimeurs de 1'Université de Leyde"" in Bibliophile Beige 1869; - Max Rooses";49438953;"1581988; 1624324; 1623492; 1620438; 1623743; 1623338; 1625182; 1624558";70156565
2008;;Rasker;Albert Jan;;Man;;10-2-1906;Zwolle;Nederland;23-6-1990;Enschede;Nederland;Promotie;Groningen;1935;De ethiek en het probleem van het booze : een studie naar aanleiding van de ethische en godsdienstphilosophische geschriften van Immanuel Kant;Gewoon Hoogleraar;Bijbelwetenschap;1-3-1951;;Bijbelse theologie, practische theologie, de geschiedenis van de NKH en van haar symbolische en liturgische geschriften. 1960 Ondw. Opdr. Gew. In: Geschiedenis van de NHK en haar symbolische en liturgische geschriften, Christelijke [..] zie bijzonder;8-10-1954;Het gezag van de Heilige Schrift;Godgeleerdheid;;;"Hoogleraar Godgeleerdheid vanwege de Nederlands Hervormde Kerk(NHK). Vervolg  onderw. opdr: […] Christelijke ethiek, wezen en geschiedenis van het apostolaat. 1974-11-01 Afscheidscollege:""De plaats van de theologie in de encyclopedie der wetenschappen""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1955 blz. 115.;75135513;;68348401
2010;;Rau;Johannes Jacobus;Joannes;Man;;1668;Raben (Swaben);Nederland;18-9-1719;Leiden;Nederland;;;;;Gewoon Lector;Anatomie;25-11-1705;;Kreeg toestemming tot het geven van Anatomische Demonstraties;;;Geneeskunde;;;Rector Magnificus 1718-1719;Gewoon Hoogleraar;"Anatomie;Heelkunde";31-7-1713;;Heel- en Ontleedkunde;26-9-1713;;Geneeskunde;29-6-1719;Vervangen wegens voortdurende ziekte.;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1705-1719. Lector 1705-1713, Hoogleeraar 1713-1719.;"zie: Molhuysen „Bronnen"" IV; - van der Aa 10; - Siegenbeek II T. en B., H. blz. 173.";40453494;"1581930; 1622147; 1622031; 1623484; 1623617";74689193
2011;;Rau;Sebald Fulco Johannes;Jean;Man;;16-10-1765;Utrecht;Nederland;1-12-1807;Leiden;Nederland;Promotie;Utrecht;1784;Specimen Arabicum continens descriptionem et excerpta libri Achmedis Teifaschii de gemmis et lapidibus pretiosis;Gewoon Hoogleraar;;17-11-1787;;;12-4-1788;;Godgeleerdheid;;;"Rector Magnificus 1797-1798; 1804-1805";Gewoon Hoogleraar;Oosterse Talen;13-9-1794;;Hebreeuwse Oudheden;;;Letteren;21-2-1795;Ontzet van alles behalve Theologie, wegens aanhang aan de Stadhouderlijke partij.;Tevens Hoogleraar Oostersche Talen en Hebreeuwsche Oudheden, met behoud van den rang van Hoogleraar Godgeleerdheid, zonder verplichting colleges over Godgeleerdheid te geven behalve het exegetische.;Gewoon Hoogleraar;Oosterse Talen;4-5-1799;;"Hersteld in onderwijs in Oostersche Talen en Oudheden; tevens onderwijs in Godgeleerdheid";22-6-1799;;Letteren;;;1799-03-21 Gaf Doctrina Moralis, doch geen Christelijke Oudheden en Historische Dogmata meer. 1799-05-04 Ging over van de Theologische Faculteit in de Philosophische Faculteit.;Gewoon Hoogleraar;Oosterse Talen;7-11-1805;;Onderwees geen Welsprekendheid en Dichtkunst meer. 1806-02-01 Alleen Hoogleraar Oostersche Talen en Oudheden;;;Letteren;1-12-1807;overleden;;(GODGELEERDHEID, WIJSBEGEERTE) 1787-1807. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI en VII; - Nieuw Nederl. Biogr. Woordenboek IX K. 842.";59434409;"1582062; 1625545; 1625013; 1621821; 1622070; 1623704";69961549
2012;;Rauwenhoff;Lodewijk Willem Ernst;;Man;;27-7-1828;Amsterdam;Nederland;26-1-1889;Meran;;Promotie;Leiden;12-3-1852;Disposito de loco Paulino, qui est de ??k??????;Buitengewoon Hoogleraar;"Dogmatiek;Kerkelijke Geschiedenis";22-6-1860;;Kerk- en Dogmengeschiedenis en Encyclopaedie der Godgeleerdheid;21-9-1860;;Godgeleerdheid;;;;Gewoon Hoogleraar;Geschiedenis van de Godsdienst;2-11-1865;;Geschiedenis van het Christendom en de Geschiedenis van de Leerstellingen van den Christelijken Godsdienst.1881-05-29 Leeropdracht gewijzigd in Wijsbegeerte van den Godsdienst;;;;26-1-1889;Overleden;Rector Magnificus 1871–1872;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1860-1889. Hoogleeraar.;"zie: A Kuenen in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1889; - Nieuw
Nederl. Biogr. Woordenboek III K. 1000.";37981812;1581976;70091110
2018;;Rees;Gustav Peter van;Peter;Man;;4-11-1928;Batavia;Nederlands-Indië;24-5-2012;Oegstgeest?;Nederland;Promotie;Leiden;1958;Invloed van progesteron op het peil van L.H. en F.S.H. in hypophysevoorkwab en bloedserum;Gewoon Lector;Farmacie;25-6-1965;1-9-1965;Farmacologie;22-2-1966;Specialisatie in de farmacologie;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Farmacologie;20-12-1979;;Farmacologie;;;;1-11-1989;Eervol ontslag;"1989-12-01 Afscheidscollege:""Neuro-endocrinologie van de voortplanting: een farmacologisch specialisme""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1966/67 blz. 243;286113436;;88388484
2020;;Regenbogen;Joan Hendrik;;Man;;9-12-1767 of 1769;Schuttorf;Duitsland;22-2-1814;Leiden;Nederland;;;;;Gewoon Hoogleraar;Geschiedenis;1811;;Algemeene Geschiedenis;3-11-1812;;Letteren;22-2-1814;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(BESPIEGELENDE WIJSBEGEERTE EN LETTEREN) 1811-1814. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek X K. 792.;283764209;;07097845X
2021;;Reinwardt;Caspar George Carl;;Man;;3-6-1773;Lüttringhausen;Duitsland;6-3-1854;Leiden;Nederland;Promotie;Harderwijk;1809;Disputatio chemica de adstringentium natura;Gewoon Hoogleraar;"Biologie;Natuurlijke Historie;Scheikunde";20-12-1819;;Scheikunde, Kruidkunde en Natuurlijke Historie;22-5-1823;;Wiskunde en Natuurwetenschappen;1845;Nam ontslag.;Vanaf 1810 hoogleraar aan het Atheneum illustre. 1819 in Staatscourant Dec. 20 Benoeming Hoogleraar Wis- en Natuurkunde. Kwam pas in 1822. Rector Magnificus 1832-1833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1819-1845. Hoogleeraar.;"zie: Nieuw Nederl. Biogr. Woordenboek IV K. 1135; - Gedenkboek van het Athenaeum en de
Universiteit van Amsterdam 1632-1932 blz. 661; - C. J. van der Klaauw in het Hooger
Onderwijs in de Zoölogie en zijn hulpmiddelen te Leiden o.a. aanteekeningen 167; - H";20431679;"1621098; 1622984; 1624739";69905118
2023;;Remmelts;Remmelt;;Man;;7-11-1890;Zaandam;Nederland;18-4-1963;Ermelo;Nederland;Promotie;Amsterdam;1923;Buitenbaarmoederlijke zwangerschap;Bijzonder Hoogleraar;;8-2-1951;;Praeventieve Geneeskunde;5-10-1951;Het geneeskundig hoger onderwijs in de tegenwoordige maatschappij;Geneeskunde;18-9-1961;Ontslag wegens emeritaat;Bijzonder Hoogleraar Geneeskunde vanwege het Leids Universiteits Fonds.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1952 blz. 95 en In Mem. 1963 blz. 196.;282638011;;72473258
2025;;Rendell Harris;James;;Man;;27-1-1851;Plymouth;Verenigd Koninkrijk, Engeland;1-3-1941;Birmingham;Verenigd Koninkrijk, Engeland;;;;;Gewoon Hoogleraar;Nieuwe Testament;15-6-1903;;Oud-Christelijke Letterkunde en Uitlegging van het Nieuwe Testament;;;Godgeleerdheid;17-11-1903;Dit besluit op eigen verzoek ingetrokken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34585917;;72943327
2026;;Renecherus;Hermannus;;Man;;1550;[Westfalen];Duitsland;1603;;;;;;;Gewoon Hoogleraar;Oosterse Talen;17-7-1575;;Hebreeuws;;;Letteren;9-5-1578;Ontslagen wegens wangedrag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(HEBREEUWSCH) 1575-1578. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I; - Nieuw Nederl. Biogr. Woordenboek IV K 1138.";3288935;;69148589
2029;;Reuvens;Caspar Jakob Christiaan;;Man;;22-1-1793;Den Haag;Nederland;26-7-1835;Rotterdam;Nederland;;;;;Buitengewoon Hoogleraar;Archeologie;1-7-1818;;Archaeologie;24-10-1818;;Archeologie;;;1818 in Staatscourant Juli 1 Benoemd Buitengewoon Hoogleraar Wijsbegeerte en Letteren.;Gewoon Hoogleraar;Klassieke Archeologie;1825;;Archaeologie en Romeinsche Oudheden;23-9-1826;;;26-7-1835;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(WIJSBEGEERTE EN LETTEREN) 1818-1835. Hoogleeraar.;"zie: Nieuw Nederl. Biogr. Woordenboek IV K. 1144.
126 DE RIDDER ROCCOLES";90636159;"1582045; 1624996; 1621779; 1622187; 1623269; 1623196; 1620379";69856389
2031;;Reve;Karel van het;;Man;;19-5-1921;Amsterdam;Nederland;4-3-1999;;;Promotie;Amsterdam;1954;Goed en schoon in de Sovjetcritiek : beschouwingen over de aesthetica van het Sovjetrussische marxisme;Gewoon Hoogleraar;Slavische Talen;3-5-1957;;Slavische Letterkunde;18-10-1957;De 'ouderwetse roman' in Rusland;Letteren;1-9-1983;Eervol ontslag;"1983-06-03 Afscheidscollege: ""Afscheid van Leiden""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1958 blz. 128. 137;79060911;1654944;69373965
2036;;Riemersma;Jelle Coenraad;;Man;;21-12-1920;Tjepoe;Nederlands-Indië;1993;;;Promotie;Leiden;1964;Hydrogen ion transport during anaerobic fermentation by Baker's yeast;Gewoon Lector;Biochemie;23-1-1968;1-2-1968;Fysische biochemie;10-12-1968;Biologische membranen;Geneeskunde;;;;Gewoon Hoogleraar;Biochemie;20-12-1979;;Fysische biochemie;;;;1-1-1983;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1969/70 blz. 247.;9927783;;06753001X
2037;;Rietveld;Petrus;;Man;;31-7-1739;Amsterdam;Nederland;22-6-1784;Leiden;Nederland;;;;;Gewoon Hoogleraar;;16-10-1780;;Godgeleerdheid;7-5-1781;;Godgeleerdheid;22-6-1784;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1780-1784. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VII; - Nieuw Nederl. Biogr. Woordenboek X K. 814.";287503596;"1581919; 1622563; 1625580";170158853
2044;;Rijckius (Rijcke);Theodorus;;Man;;12-2-1640;Arnhem;Nederland;7-1-1690;Leiden;Nederland;;;;;Gewoon Hoogleraar;"Geschiedenis;Retorica";13-4-1672;;Historiën en Welsprekendheid;;;Letteren;7-1-1690;Overleden;Rector Magnificus 1682-1683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(HISTORIËN EN WELSPREKENDHEID) 1672-1690. Hoogleeraar.;"zie: Molhuysen „Bronnen"" III en IV; - van der Aa 10; - Siegenbeek II, T. en B., H. blz. 149.";287471547;"1581962; 1620290; 1624820; 1622094";309549035
2046;;Rijk;Lambertus Marie de;;Man;;6-11-1924;Hilversum;Nederland;2012;;;Promotie;Utrecht;1952;The place of the categories of being in Aristotle's philosophy;Gewoon Hoogleraar;Geschiedenis der Wijsbegeerte;12-8-1969;;Antieke en middeleeuwse wijsbegeerte;4-12-1970;Scepticisme en criticisme in de antieke en middeleeuwse wijsbegeerte;Wijsbegeerte;;;"1983-02-08 Diesrede: ""Het ongure individu, uitdager èn spelbreker van het denken"". 1988-11-01 Afscheidscollege: ""Waarom? - Daarom. De lotgevallen van de aristotelische bewijstheorie in de laat-middeleeuwse metafysica""";;;;;;;;;;;Gewoon Hoogleraar Letteren, tevens in de Centrale Interfaculteit.;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1971 blz. 51.;2487677;1655223;06823550X
2047;;Rijke;Pieter Leonard;Pieter;Man;;11-7-1812;Hemmen;Nederland;8-4-1899;Leiden;Nederland;Promotie;Leiden;1836;Specimen physicum inaugurale de origine electricitatis voltaicae;Buitengewoon Hoogleraar;"Natuurkunde;Wiskunde";5-4-1845;;;;;Wiskunde en Natuurwetenschappen;;;Rector Magnificus 1862-1863;Gewoon Hoogleraar;;10-5-1854;;;;;Wiskunde en Natuurwetenschappen;19-9-1882;1882-09-03( KB) Ontslag wegens Emeritaat, ingaand 1882-09-19.;;;;;;;;;;;;;;;;;;;;;;;;(Wis- EN NATUURKUNDE) 1845-1882. Hoogleeraar.;zie: J. P. Kuenen in Gedenkboek van het Bataafsch Genootschap 1769-1919.;209819115;1621697;69868492
2049;;Rijpperda Wierdsma;Jan Volkert;;Man;;8-1-1904;Nijmegen;Nederland;19-2-1981;Oegstgeest;Nederland;Promotie;Leiden;1937;Politie en justitie : een studie over Hollandschen staatsbouw tijdens de Republiek;Gewoon Hoogleraar;Staatsrecht;4-6-1948;16-7-1948;Staatsrecht;8-10-1948;Dualisme in ons staatsbestel;Rechtsgeleerdheid;1-3-1967;Ontslag op verzoek;Rector Magnificus 1960-1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1949 blz. 104. 138;287780008;1660842;68068360
2050;;Rijssel;Theodorus Gerardus van;;Man;;1-4-1917;Utrecht;Nederland;1994;;;Promotie;Utrecht;1947;De ziekte van Besnier-Boeck en bacterie??el-allergische ontstekingsprocessen;Gewoon Hoogleraar;Anatomie;25-6-1955;;Pathologische anatomie. 1955-09-06 Onderwijsopdracht gewijzigd in: Ziektekundige ontleedkunde, algemene ziektekunde en gerechtelijke ontleedkunde;17-2-1956;Naast Mes en Microscoop;Geneeskunde;1-1-1982;Eervol ontslag;"1983-01-14 Afscheidscollege: ""Ziektekunde en de Tijd""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U te Leiden 1956 blz. 119.;289683840;;71299130
2052;;Rivetus (Rivet);Andreas;André;Man;;2-7-1572;St. Maxent;Frankrijk;7-1-1651;Breda;Nederland;;;;;Gewoon Hoogleraar;;14-10-1620;;Godgeleerdheid;;;Godgeleerdheid;1632;"Nam ontslag om onderwijs te gaan geven aan Prins Willem, zoon an Frederik Hendrik. Hij kreeg den titel van ""Professor Honorarius"".";Hoogleraar Godgeleerdheid voor 2 jaar, wat werd gecontinueerd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1620-1632. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr. Woordenboek VII K. 1051; Gustave
Cohen: Ecrivains francais en Hollande dans la première moitié du XVIIme Siècle; - H. J.
Honders „Andreas Rivetus"" Nijhoff, den Haag 1930; A. G. van Opstal „André Rivet"" M";120727029;"1619489; 1624602; 1619679; 1622447; 1622473; 1620192; 1624719; 1622003; 1622842; 1623252; 1619639; 1624260; 1619950";68918682
2056;;Roessingh;Karel Hendrik;;Man;;11-3-1886;Groningen;Nederland;29-10-1925;Leiden;Nederland;Promotie;Leiden;1914;De moderne theologie in Nederland : hare voorbereiding en eerste periode;Gewoon Hoogleraar;"Ethiek;Geschiedenis van de Godsdienst";1-5-1916;;De Encyclopaedie der Godgeleerdheid en de Geschiedenis der leer aangaande God en de Zedekunde;27-9-1916;;Godgeleerdheid;29-10-1925;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1916-1925. Hoogleeraar.;"zie: G. J. Heering „Professor Roessingh herdacht"" in de „Tijdstroom"" 1925; - Jaarboeken der
R.U. te Leiden 1917 blz. 79 en 1926 blz. 121.";18029225;1581848;69392919
2057;;Roessingh;Dirk;;Man;;14-1-1884;Groningen;Nederland;1959;Wolfheze;Nederland;Promotie;Groningen;1915;Het gebruik en bezit van den grond bij Germanen en Celten;Gewoon Lector;Geschiedenis van het Recht;1-10-1915;;Oud-Vaderlandsch Recht;;;Rechtsgeleerdheid;31-8-1917;einde dienstverband;1915 sept 17 : ingang 1 okt 1915 tot en met 31 Aug. 1917  Lector Rechtsgeleerdheid.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306156352;;68030452
2059;;Roest;Paulus;;Man;;23-11-1916;Vlaardingen;Nederland;1997;;;Promotie;Amsterdam;1968;Het godsdienstonderwijs op de middelbare school : een didactische verkenning;Buitengewoon Lector;;20-8-1968;1-9-1968;Theorie en praktijk van de godsdienstige vorming;21-1-1969;Profiel van de godsdienstleraar;Godgeleerdheid;;;;Gewoon Lector;;18-11-1970;;Theorie en praktijk van de godsdienstige vorming;;;;;;;Gewoon Hoogleraar;;29-10-1973;;Onderwijskunde t.b.v. de lerarenopleiding;;;Godgeleerdheid;;;;Gewoon Hoogleraar;;24-1-1980;;Godsdienstpedagogiek;;;Godgeleerdheid;1-1-1982;Eervol ontslag;"1982-05-07 Afscheidscollege: ""Meer dan vakmanschap""";;zie: JB der R.U. te Leiden 1969/70 blz. 248.;11976666;;69269815
2061;;Roever;Willem Paul de;;Man;;7-3-1917;Amsterdam;Nederland;24-9-2000;Amstelveen;;Promotie;Amsterdam;1940;Geological investigations in the southwestern Moetis region (Netherlands Timor);Gewoon Hoogleraar;Geologie;29-7-1955;;Kristallografie, mineralogie en petrologie;4-11-1955;Metamorfe gesteenten en hun mineraalgezelschappen;Wiskunde en Natuurwetenschappen;31-10-1958;Eervol ontslag op verzoek;Wordt achtereenvolgens Lector en Hoogleraar aan Universiteit van Amsterdam. Keert na hoogleraarschap in Leiden terug naar Amsterdam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1956 blz 117. 139;73476033;;100748430
2064;;Romers;Cornelis;;Man;;22-7-1919;Noordwijk;Nederland;25-3-2003;Sassenheim?;Nederland;Promotie;Amsterdam;1948;Ammoniumtetrametafosfaat : bepaling van de kristalstructuur en beschouwing over de nauwkeurigheid der toegepaste Fourier-sommaties;Gewoon Lector;Scheikunde;10-8-1962;1-9-1962;Organische chemie. 1964-03-03  Onderwijsopdracht gewijzigd in: Röntgen- en elektronendiffractie in de chemie;27-11-1962;De rol van de kristallografie in de organische scheikunde;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Scheikunde;19-1-1974;;Organische chemie;;;;1-9-1982;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;213731667;;153074825
